@relation 'readsb-hist_filtered_by_Taiwan_manual_edges-weka.filters.unsupervised.attribute.Remove-R1-11,14,16-18,20-29_clustered'

@attribute Instance_number numeric
@attribute gs numeric
@attribute track numeric
@attribute squawk numeric
@attribute nav_heading numeric
@attribute ecef_x numeric
@attribute ecef_y numeric
@attribute ecef_z numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
224,412.5,228.93,7161,241.17,-3026889.112125,4915813.995227,2723502.534905,cluster12
225,411.6,45.98,3127,14.77,-2943286.017988,5050919.089081,2552086.635511,cluster10
226,413.3,229.02,7161,241.17,-3026365.385762,4916487.216267,2722869.257704,cluster12
227,406.4,42.21,3127,14.77,-2943704.619873,5050282.392184,2552768.543686,cluster10
228,413.9,228.92,7161,241.17,-3025831.653532,4917174.137539,2722221.940991,cluster12
229,399.1,37.87,3127,14.77,-2944042.549693,5049676.208037,2553463.679786,cluster10
230,413.9,228.92,7161,241.17,-3025348.493552,4917793.031558,2721640.898746,cluster12
231,390.8,32.67,3127,14.77,-2944338.78636,5049072.787301,2554220.067785,cluster10
232,413.9,228.92,7161,241.17,-3024844.903445,4918440.591564,2721030.401846,cluster12
233,385.5,29.36,3127,14.77,-2944511.000135,5048647.020046,2554786.968546,cluster10
234,413.9,228.92,7161,241.17,-3024254.578016,4919195.455185,2720321.913202,cluster12
235,378.9,25.48,3127,14.77,-2944743.248303,5047922.814077,2555854.972042,cluster10
236,413.9,228.92,7161,241.17,-3023740.997246,4919856.141819,2719697.94569,cluster12
237,373.5,22.51,3127,11.25,-2944842.017232,5047433.281339,2556631.788927,cluster10
238,413.9,228.92,7161,241.17,-3023216.215594,4920530.134618,2719061.951941,cluster12
239,365,17.54,3127,9.14,-2944897.577995,5046941.822922,2557442.822899,cluster10
240,413.9,228.92,7161,241.17,-3022677.159242,4921217.638469,2718416.954079,cluster12
241,362.6,16.34,3127,7.73,-2944921.416767,5046441.002063,2558289.491067,cluster10
242,413.9,228.92,7161,241.17,-3022151.692442,4921892.569504,2717779.180239,cluster12
243,361.6,16.88,3127,9.14,-2944958.069762,5045990.132627,2559060.526997,cluster10
244,413.9,228.92,7161,241.17,-3021636.478052,4922552.758863,2717156.293098,cluster12
245,360.3,17.28,3127,9.14,-2945001.007821,5045529.06012,2559863.117627,cluster10
246,413.9,228.92,7161,241.17,-3021099.332085,4923240.776938,2716506.960855,cluster12
247,359.3,17.33,3127,9.14,-2945038.935215,5045059.4729,2560649.950706,cluster10
248,413.9,228.92,7161,241.17,-3020615.375381,4923859.29756,2715924.034698,cluster12
